temp,rain_1h,snow_1h,clouds_all,year,month,day,day_of_week,day_of_year,hour,minute,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Snow,Thunderstorm,traffic_volume
270.51,0.0,0.0,1,2018,3,13,1,72,11,0,True,False,False,False,False,False,False,False,False,4591
264.03,0.0,0.0,75,2017,1,10,1,10,15,0,False,False,False,False,True,False,False,False,False,4454
262.47,0.0,0.0,1,2013,11,23,5,327,17,0,True,False,False,False,False,False,False,False,False,4027
297.86,0.0,0.0,75,2017,8,21,0,233,12,0,False,True,False,False,False,False,False,False,False,4648
271.55,0.0,0.0,1,2016,3,28,0,88,1,0,True,False,False,False,False,False,False,False,False,299
296.94,0.0,0.0,75,2017,7,19,2,200,16,0,False,False,False,False,False,False,True,False,False,6401
298.21,0.0,0.0,75,2018,6,29,4,180,8,0,False,True,False,False,False,False,False,False,False,5204
268.82,0.0,0.0,90,2013,1,31,3,31,2,0,False,True,False,False,False,False,False,False,False,261
256.15,0.0,0.0,1,2018,2,12,0,43,23,0,True,False,False,False,False,False,False,False,False,934
293.03,0.0,0.0,40,2015,8,31,0,243,8,0,False,False,False,False,False,True,False,False,False,5987
260.14,0.0,0.0,90,2013,12,14,5,348,8,0,False,False,False,False,False,False,False,True,False,2611
278.35,0.0,0.0,1,2017,3,4,5,63,16,0,True,False,False,False,False,False,False,False,False,4843
271.42,0.0,0.0,64,2013,12,4,2,338,12,0,False,False,False,False,False,True,False,False,False,3556
298.3,0.25,0.0,1,2013,8,1,3,213,17,0,False,False,False,False,False,False,True,False,False,6168
288.82,0.0,0.0,1,2016,9,2,4,246,23,0,True,False,False,False,False,False,False,False,False,1923
265.48,0.0,0.0,1,2014,1,14,1,14,15,0,True,False,False,False,False,False,False,False,False,5160
277.28,0.0,0.0,90,2012,11,7,2,312,1,0,False,False,False,False,False,True,False,False,False,811
284.29,0.0,0.0,90,2012,10,25,3,299,18,0,False,False,False,False,False,False,True,False,False,5351
301.22,0.0,0.0,40,2017,9,3,6,246,15,0,False,True,False,False,False,False,False,False,False,4139
277.09,0.0,0.0,1,2013,3,15,4,74,18,0,True,False,False,False,False,False,False,False,False,4700
273.42,0.0,0.0,1,2016,11,25,4,330,23,0,False,False,False,False,False,True,False,False,False,1358
271.18,0.0,0.0,1,2013,3,14,3,73,19,0,True,False,False,False,False,False,False,False,False,3461
292.07,0.25,0.0,90,2016,6,3,4,155,12,0,False,False,False,False,False,False,True,False,False,5254
276.88,0.0,0.0,90,2018,4,13,4,103,13,0,False,False,False,False,False,False,False,True,False,5174
292.21,0.0,0.0,75,2017,5,27,5,147,21,0,False,True,False,False,False,False,False,False,False,2918
292.22,0.0,0.0,40,2018,8,6,0,218,8,0,False,False,False,True,False,False,False,False,False,5582
295.16,0.0,0.0,1,2015,8,30,6,242,20,0,True,False,False,False,False,False,False,False,False,3256
284.13,0.0,0.0,1,2018,9,7,4,250,6,0,True,False,False,False,False,False,False,False,False,5542
265.55,0.25,0.0,90,2014,2,15,5,46,15,0,False,False,False,False,False,False,True,False,False,3670
270.58,0.0,0.0,90,2017,12,16,5,350,12,0,False,False,False,False,True,False,False,False,False,4806
292.65,0.0,0.0,1,2017,9,14,3,257,4,0,False,False,False,False,False,True,False,False,False,915
290.69,0.25,0.0,90,2016,8,20,5,233,13,0,False,False,True,False,False,False,False,False,False,4154
291.6,0.0,0.0,90,2015,9,22,1,265,5,0,False,True,False,False,False,False,False,False,False,2968
264.31,0.0,0.0,1,2018,3,31,5,90,22,0,True,False,False,False,False,False,False,False,False,2695
277.22,0.0,0.0,90,2016,2,20,5,51,14,0,False,True,False,False,False,False,False,False,False,5775
294.68,4.38,0.0,90,2015,8,6,3,218,21,0,False,False,False,False,False,True,False,False,False,3039
290.88,0.0,0.0,0,2016,6,16,3,168,2,0,True,False,False,False,False,False,False,False,False,335
289.64,0.0,0.0,90,2016,5,26,3,147,5,0,False,False,False,False,False,False,True,False,False,3029
275.08,0.0,0.0,1,2018,3,13,1,72,18,0,True,False,False,False,False,False,False,False,False,4470
257.16,0.0,0.0,62,2013,2,4,0,35,1,0,False,True,False,False,False,False,False,False,False,285
295.72,0.0,0.0,90,2017,7,24,0,205,13,0,False,True,False,False,False,False,False,False,False,4608
274.48,0.0,0.0,90,2016,3,23,2,83,14,0,False,False,False,False,False,True,False,False,False,5154
289.08,0.0,0.0,1,2014,6,8,6,159,22,0,True,False,False,False,False,False,False,False,False,2257
266.39,0.0,0.0,1,2013,4,4,3,94,5,0,True,False,False,False,False,False,False,False,False,2605
299.45,0.0,0.0,75,2014,6,27,4,178,18,0,False,True,False,False,False,False,False,False,False,4683
287.38,0.0,0.0,90,2013,5,25,5,145,22,0,False,False,False,False,False,False,False,False,True,2491
275.68,0.0,0.0,75,2017,11,17,4,321,22,0,False,False,False,False,False,True,False,False,False,2630
298.27,0.25,0.0,90,2016,7,10,6,192,20,0,False,False,False,False,False,False,True,False,False,2603
276.69,0.0,0.0,90,2017,3,23,3,82,18,0,False,False,False,False,False,False,True,False,False,4531
271.34,0.0,0.0,90,2017,11,22,2,326,18,0,False,False,False,False,False,False,False,True,False,4347
278.07,1.69,0.0,90,2016,5,13,4,134,8,0,False,False,False,False,False,False,True,False,False,5340
297.13,0.0,0.0,1,2013,9,11,2,254,19,0,False,False,False,False,True,False,False,False,False,3602
291.48,0.0,0.0,80,2016,6,15,2,167,12,0,False,False,False,False,False,False,True,False,False,5146
276.61,0.0,0.0,75,2012,10,29,0,303,21,0,False,True,False,False,False,False,False,False,False,2117
283.14,0.0,0.0,1,2013,9,22,6,265,8,0,True,False,False,False,False,False,False,False,False,2242
292.8,0.0,0.0,1,2013,10,10,3,283,20,0,True,False,False,False,False,False,False,False,False,3256
297.16,0.0,0.0,90,2017,6,3,5,154,1,0,False,False,False,False,False,False,True,False,False,906
290.72,0.0,0.0,90,2018,8,21,1,233,6,0,False,False,True,False,False,False,False,False,False,5701
267.08,0.0,0.0,90,2017,12,9,5,343,14,0,False,True,False,False,False,False,False,False,False,5255
262.95,0.0,0.0,75,2018,2,16,4,47,20,0,False,True,False,False,False,False,False,False,False,3027
295.35,0.0,0.0,40,2017,8,11,4,223,12,0,False,True,False,False,False,False,False,False,False,5428
269.48,0.0,0.0,90,2016,12,31,5,366,23,0,False,True,False,False,False,False,False,False,False,1857
274.93,0.0,0.0,90,2016,4,7,3,98,9,0,False,False,False,False,False,False,False,True,False,5303
285.55,0.0,0.0,90,2017,10,7,5,280,10,0,False,False,False,False,False,False,True,False,False,4062
275.68,0.0,0.0,90,2017,10,26,3,299,21,0,False,False,False,False,False,False,True,False,False,3761
289.72,0.0,0.0,90,2017,8,14,0,226,4,0,False,False,False,False,False,True,False,False,False,873
292.6,0.3,0.0,1,2015,7,5,6,186,3,0,False,False,False,False,True,False,False,False,False,338
291.58,0.0,0.0,1,2018,8,12,6,224,4,0,False,False,False,True,False,False,False,False,False,365
271.08,0.0,0.0,1,2016,3,25,4,85,3,0,True,False,False,False,False,False,False,False,False,357
287.64,0.0,0.0,24,2016,8,7,6,220,6,0,False,True,False,False,False,False,False,False,False,1038
281.42,0.0,0.0,90,2015,11,11,2,315,20,0,False,False,False,False,False,True,False,False,False,2340
288.49,0.0,0.0,40,2013,7,2,1,183,4,0,False,True,False,False,False,False,False,False,False,806
298.96,0.0,0.0,1,2018,5,29,1,149,17,0,False,False,False,False,False,False,False,False,True,5990
275.65,0.0,0.0,90,2015,12,16,2,350,14,0,False,False,False,False,False,False,True,False,False,5214
287.69,0.0,0.0,1,2017,8,13,6,225,4,0,True,False,False,False,False,False,False,False,False,368
294.15,0.0,0.0,1,2015,7,4,5,185,9,0,False,False,False,False,False,True,False,False,False,2322
282.22,0.0,0.0,1,2016,3,31,3,91,18,0,False,False,False,False,False,False,True,False,False,4758
301.13,0.0,0.0,88,2013,7,20,5,201,17,0,False,True,False,False,False,False,False,False,False,5077
295.51,0.0,0.0,1,2013,8,9,4,221,13,0,True,False,False,False,False,False,False,False,False,5542
303.19,0.0,0.0,40,2016,8,2,1,215,18,0,False,True,False,False,False,False,False,False,False,4094
289.96,0.0,0.0,1,2014,4,21,0,111,17,0,True,False,False,False,False,False,False,False,False,6173
268.41,0.0,0.0,90,2012,12,21,4,356,1,0,False,False,False,False,True,False,False,False,False,436
295.14,0.0,0.0,40,2015,7,8,2,189,16,0,False,True,False,False,False,False,False,False,False,6234
274.547,0.0,0.0,32,2016,10,24,0,298,22,0,False,True,False,False,False,False,False,False,False,1310
270.55,0.0,0.0,90,2018,2,24,5,55,17,0,False,False,False,False,False,False,False,True,False,2709
285.55,0.0,0.0,90,2012,10,24,2,298,8,0,False,False,True,False,False,False,False,False,False,5607
300.65,0.0,0.0,1,2018,8,10,4,222,12,0,True,False,False,False,False,False,False,False,False,4941
296.8,0.0,0.0,1,2018,8,7,1,219,15,0,False,False,False,False,False,False,False,False,True,5555
292.23,0.0,0.0,0,2014,7,13,6,194,1,0,False,False,False,False,False,False,True,False,False,879
271.48,0.0,0.0,90,2018,2,24,5,55,21,0,False,False,False,False,False,False,False,True,False,1686
267.44,0.0,0.0,90,2015,12,29,1,363,18,0,False,True,False,False,False,False,False,False,False,3573
272.94,0.0,0.0,90,2017,11,16,3,320,16,0,False,True,False,False,False,False,False,False,False,6658
268.94,0.0,0.0,1,2018,3,13,1,72,5,0,True,False,False,False,False,False,False,False,False,2872
275.42,0.0,0.0,90,2015,12,16,2,350,13,0,False,False,True,False,False,False,False,False,False,4939
282.09,0.0,0.0,90,2017,4,26,2,116,1,0,False,False,False,False,False,True,False,False,False,349
260.02,0.0,0.0,64,2013,12,5,3,339,3,0,False,True,False,False,False,False,False,False,False,369
289.99,0.0,0.0,1,2015,7,7,1,188,10,0,True,False,False,False,False,False,False,False,False,4188
305.43,0.0,0.0,0,2013,7,18,3,199,14,0,True,False,False,False,False,False,False,False,False,5652
292.22,0.0,0.0,40,2018,7,20,4,201,23,0,False,True,False,False,False,False,False,False,False,2030
288.77,0.25,0.0,68,2013,6,11,1,162,1,0,False,False,False,False,False,False,True,False,False,378
301.07,0.0,0.0,75,2017,8,1,1,213,13,0,False,True,False,False,False,False,False,False,False,5034
274.21,0.0,0.0,90,2013,4,12,4,102,13,0,False,False,False,False,False,False,False,True,False,5446
284.71,0.0,0.0,90,2014,4,12,5,102,18,0,False,True,False,False,False,False,False,False,False,4230
277.93,0.0,0.0,1,2017,11,29,2,333,22,0,True,False,False,False,False,False,False,False,False,1780
294.3,0.0,0.0,40,2013,5,9,3,129,11,0,False,True,False,False,False,False,False,False,False,4947
299.58,0.0,0.0,0,2013,8,30,4,242,22,0,True,False,False,False,False,False,False,False,False,2546
274.92,0.0,0.0,1,2013,4,16,1,106,2,0,True,False,False,False,False,False,False,False,False,234
276.173,0.0,0.0,0,2016,10,20,3,294,1,0,True,False,False,False,False,False,False,False,False,486
270.62,0.0,0.0,90,2016,12,30,4,365,16,0,False,True,False,False,False,False,False,False,False,5848
278.22,1.52,0.0,90,2016,4,28,3,119,18,0,False,False,False,False,False,True,False,False,False,4884
295.39,0.0,0.0,1,2016,9,2,4,246,18,0,True,False,False,False,False,False,False,False,False,4112
295.87,0.0,0.0,40,2014,5,31,5,151,1,0,False,True,False,False,False,False,False,False,False,842
274.61,0.0,0.0,75,2017,12,19,1,353,14,0,False,True,False,False,False,False,False,False,False,5385
272.49,0.0,0.0,90,2016,1,7,3,7,3,0,False,False,False,False,False,False,False,True,False,524
288.25,0.0,0.0,1,2018,9,24,0,267,9,0,True,False,False,False,False,False,False,False,False,4936
265.42,0.0,0.0,90,2017,3,13,0,72,2,0,False,False,False,False,False,False,False,True,False,282
272.51,0.0,0.0,1,2012,12,5,2,340,15,0,True,False,False,False,False,False,False,False,False,5867
297.15,0.0,0.0,75,2018,5,5,5,125,13,0,False,True,False,False,False,False,False,False,False,4730
287.37,0.0,0.0,1,2016,8,21,6,234,3,0,True,False,False,False,False,False,False,False,False,493
298.65,0.0,0.0,40,2017,5,16,1,136,17,0,False,False,False,False,False,False,False,False,True,6098
275.22,0.0,0.0,90,2016,3,27,6,87,8,0,False,False,False,False,False,False,False,True,False,1670
287.47,0.25,0.0,20,2014,4,10,3,100,13,0,False,False,False,False,False,False,True,False,False,5035
284.29,0.25,0.0,75,2014,5,13,1,133,18,0,False,False,False,False,False,False,True,False,False,4817
301.01,0.0,0.0,1,2017,7,29,5,210,16,0,True,False,False,False,False,False,False,False,False,4850
271.5,0.0,0.0,90,2013,12,4,2,338,16,0,False,False,False,True,False,False,False,False,False,4315
276.94,0.0,0.0,90,2017,11,13,0,317,20,0,False,False,False,False,False,True,False,False,False,2537
263.26,0.0,0.0,90,2014,2,8,5,39,17,0,False,True,False,False,False,False,False,False,False,4457
287.3,0.0,0.0,1,2018,7,27,4,208,5,0,True,False,False,False,False,False,False,False,False,2945
296.54,0.0,0.0,75,2017,6,30,4,181,16,0,False,False,False,False,False,False,True,False,False,5718
282.58,0.0,0.0,20,2016,4,3,6,94,18,0,False,True,False,False,False,False,False,False,False,3992
266.37,0.0,0.0,1,2018,1,23,1,23,5,0,True,False,False,False,False,False,False,False,False,2008
294.08,0.51,0.0,64,2013,9,27,4,270,11,0,False,False,False,False,False,False,True,False,False,5320
298.44,0.0,0.0,40,2015,7,27,0,208,10,0,False,True,False,False,False,False,False,False,False,4461
279.37,0.0,0.0,40,2017,4,30,6,120,5,0,False,True,False,False,False,False,False,False,False,443
285.137,0.0,0.0,0,2016,7,16,5,198,5,0,True,False,False,False,False,False,False,False,False,789
279.84,0.0,0.0,20,2012,10,31,2,305,12,0,False,True,False,False,False,False,False,False,False,5041
281.28,0.0,0.0,40,2017,4,5,2,95,11,0,False,True,False,False,False,False,False,False,False,4914
268.15,0.0,0.0,5,2018,2,23,4,54,20,0,True,False,False,False,False,False,False,False,False,3124
296.66,0.3,0.0,40,2015,9,17,3,260,3,0,False,False,False,False,False,False,False,False,True,363
287.39,0.25,0.0,90,2018,9,20,3,263,2,0,False,False,False,False,False,False,True,False,False,265
270.29,0.0,0.0,1,2017,11,12,6,316,0,0,False,False,False,False,False,True,False,False,False,1259
291.91,0.0,0.0,12,2013,7,29,0,210,13,0,False,True,False,False,False,False,False,False,False,5031
277.73,0.0,0.0,90,2013,4,9,1,99,5,0,False,False,False,False,False,False,True,False,False,2626
273.27,0.0,0.0,40,2017,1,30,0,30,20,0,False,False,False,False,False,True,False,False,False,2314
266.0,0.0,0.0,90,2018,1,28,6,28,1,0,False,True,False,False,False,False,False,False,False,791
286.22,0.0,0.0,40,2017,10,23,0,296,15,0,False,True,False,False,False,False,False,False,False,5794
267.43,0.0,0.0,90,2017,12,9,5,343,19,0,False,True,False,False,False,False,False,False,False,3449
274.65,0.0,0.0,90,2017,10,27,4,300,5,0,False,False,False,False,False,False,True,False,False,2805
291.01,0.0,0.0,90,2017,5,15,0,135,10,0,False,True,False,False,False,False,False,False,False,4412
277.96,0.0,0.0,90,2012,11,7,2,312,17,0,False,False,False,False,False,False,True,False,False,6057
275.72,0.0,0.0,40,2016,4,5,1,96,22,0,False,True,False,False,False,False,False,False,False,2558
285.86,0.0,0.0,90,2015,11,18,2,322,2,0,False,False,False,False,False,True,False,False,False,292
268.27,0.0,0.0,64,2013,11,8,4,312,3,0,False,False,False,False,False,True,False,False,False,376
269.74,0.0,0.0,90,2012,12,17,0,352,9,0,False,False,False,False,False,True,False,False,False,5053
290.6,0.0,0.0,1,2015,7,22,2,203,6,0,True,False,False,False,False,False,False,False,False,5728
281.7,0.0,0.0,75,2013,4,26,4,116,20,0,False,True,False,False,False,False,False,False,False,3508
289.29,0.0,0.0,40,2018,4,27,4,117,14,0,False,True,False,False,False,False,False,False,False,6005
289.75,0.0,0.0,40,2018,5,17,3,137,9,0,False,True,False,False,False,False,False,False,False,5299
274.54,0.27,0.0,90,2014,4,16,2,106,13,0,False,False,False,False,False,False,True,False,False,4827
259.15,0.0,0.0,1,2013,11,24,6,328,3,0,True,False,False,False,False,False,False,False,False,361
285.91,0.0,0.0,1,2016,5,30,0,151,5,0,False,False,False,True,False,False,False,False,False,488
271.74,0.0,0.0,90,2012,12,10,0,345,17,0,False,False,False,False,False,False,False,True,False,4208
275.82,0.0,0.0,90,2016,11,29,1,334,12,0,False,True,False,False,False,False,False,False,False,4533
283.12,0.0,0.0,40,2014,5,5,0,125,4,0,False,True,False,False,False,False,False,False,False,791
282.08,0.0,0.0,90,2018,5,11,4,131,10,0,False,False,False,False,False,False,True,False,False,4978
271.08,0.0,0.0,90,2016,2,25,3,56,23,0,False,True,False,False,False,False,False,False,False,1204
290.32,0.0,0.0,1,2013,5,1,2,121,2,0,True,False,False,False,False,False,False,False,False,283
256.07,0.0,0.0,64,2014,1,15,2,15,6,0,False,True,False,False,False,False,False,False,False,5542
275.22,0.0,0.0,90,2017,3,26,6,85,9,0,False,False,True,False,False,False,False,False,False,2656
273.65,0.0,0.0,90,2013,4,12,4,102,5,0,False,False,False,False,False,False,False,True,False,2407
269.22,0.0,0.0,90,2018,1,24,2,24,20,0,False,False,False,False,False,True,False,False,False,2720
293.82,0.0,0.0,40,2018,8,7,1,219,22,0,False,False,False,False,False,True,False,False,False,1771
283.99,0.0,0.0,76,2013,7,29,0,210,4,0,False,True,False,False,False,False,False,False,False,846
293.86,1.02,0.0,5,2018,8,25,5,237,21,0,False,False,False,False,False,True,False,False,False,3156
274.87,0.0,0.0,90,2017,1,21,5,21,8,0,False,False,False,False,False,True,False,False,False,2946
278.73,0.0,0.0,90,2013,5,2,3,122,7,0,False,False,False,False,False,False,True,False,False,6818
276.793,0.0,0.0,64,2014,1,6,0,6,5,0,False,True,False,False,False,False,False,False,False,1930
292.22,0.0,0.0,90,2015,7,17,4,198,2,0,False,False,False,False,False,True,False,False,False,340
287.75,0.0,0.0,40,2017,5,16,1,136,2,0,False,False,False,False,False,False,False,False,True,261
294.37,0.0,0.0,75,2018,5,23,2,143,10,0,False,True,False,False,False,False,False,False,False,4728
291.81,0.0,0.0,0,2016,8,8,0,221,1,0,True,False,False,False,False,False,False,False,False,660
269.74,0.0,0.0,1,2013,1,16,2,16,13,0,True,False,False,False,False,False,False,False,False,4984
271.69,0.0,0.0,1,2016,3,25,4,85,8,0,True,False,False,False,False,False,False,False,False,5170
277.99,0.0,0.0,1,2012,11,20,1,325,22,0,True,False,False,False,False,False,False,False,False,2050
269.88,0.0,0.0,1,2017,3,3,4,62,13,0,True,False,False,False,False,False,False,False,False,5665
297.65,1.78,0.0,75,2018,8,25,5,237,16,0,False,False,False,False,False,False,True,False,False,4677
273.88,0.0,0.0,90,2017,3,18,5,77,1,0,False,True,False,False,False,False,False,False,False,1140
296.15,0.0,0.0,0,2014,6,2,0,153,11,0,True,False,False,False,False,False,False,False,False,4819
255.37,0.0,0.0,0,2014,2,2,6,33,2,0,True,False,False,False,False,False,False,False,False,539
290.52,1.52,0.0,90,2015,9,20,6,263,18,0,False,False,False,False,False,False,True,False,False,3857
288.64,0.76,0.0,90,2015,8,19,2,231,4,0,False,False,False,False,False,True,False,False,False,912
275.29,0.0,0.0,40,2017,2,21,1,52,10,0,False,False,False,True,False,False,False,False,False,3830
286.95,0.0,0.0,1,2016,11,16,2,321,17,0,True,False,False,False,False,False,False,False,False,5844
272.23,0.0,0.0,90,2012,12,1,5,336,6,0,False,True,False,False,False,False,False,False,False,1274
275.92,0.0,0.0,1,2013,4,5,4,95,22,0,True,False,False,False,False,False,False,False,False,2205
303.41,0.0,0.0,48,2013,7,6,5,187,17,0,False,True,False,False,False,False,False,False,False,3720
296.22,0.0,0.0,1,2018,8,20,0,232,0,0,False,False,False,False,False,False,True,False,False,922
285.43,0.0,0.0,20,2017,10,23,0,296,10,0,False,True,False,False,False,False,False,False,False,4379
268.01,0.0,0.0,90,2018,4,15,6,105,3,0,False,False,False,False,False,True,False,False,False,151
272.37,0.0,0.0,90,2015,11,22,6,326,19,0,False,False,False,False,False,False,False,True,False,3057
278.98,0.0,0.0,1,2012,12,4,1,339,23,0,True,False,False,False,False,False,False,False,False,2544
259.28,0.0,0.0,40,2016,12,12,0,347,18,0,False,False,False,False,False,False,False,True,False,3974
271.12,0.0,0.0,40,2013,3,2,5,61,17,0,False,True,False,False,False,False,False,False,False,4588
278.56,0.0,0.0,90,2012,11,6,1,311,22,0,False,False,False,False,False,False,True,False,False,1671
268.5,0.0,0.0,90,2012,11,24,5,329,17,0,False,True,False,False,False,False,False,False,False,4357
290.89,0.0,0.0,20,2016,6,6,0,158,10,0,False,True,False,False,False,False,False,False,False,4642
293.75,0.0,0.0,90,2018,6,11,0,162,13,0,False,False,False,False,False,False,True,False,False,4658
276.85,0.0,0.0,40,2013,3,15,4,74,15,0,False,True,False,False,False,False,False,False,False,5803
268.39,0.0,0.0,90,2012,12,19,2,354,0,0,False,False,False,False,False,False,False,True,False,534
291.33,0.0,0.0,90,2018,9,21,4,264,1,0,False,False,False,False,False,False,True,False,False,407
287.98,0.0,0.0,1,2016,8,26,4,239,0,0,True,False,False,False,False,False,False,False,False,739
267.03,0.0,0.0,90,2017,3,11,5,70,15,0,False,True,False,False,False,False,False,False,False,5611
297.81,0.0,0.0,44,2013,6,27,3,178,9,0,False,False,False,False,False,True,False,False,False,5572
298.61,0.0,0.0,44,2013,6,27,3,178,10,0,False,True,False,False,False,False,False,False,False,4801
291.46,0.85,0.0,90,2015,9,24,3,267,3,0,False,False,False,False,False,False,True,False,False,386
269.15,0.0,0.0,90,2017,1,29,6,29,5,0,False,True,False,False,False,False,False,False,False,442
290.57,0.0,0.0,76,2013,8,13,1,225,23,0,False,True,False,False,False,False,False,False,False,1236
275.96,0.0,0.0,90,2013,4,10,2,100,6,0,False,True,False,False,False,False,False,False,False,5543
277.35200000000003,0.0,0.0,0,2016,10,20,3,294,8,0,True,False,False,False,False,False,False,False,False,5223
290.75,0.0,0.0,1,2017,7,28,4,209,4,0,False,False,False,False,False,True,False,False,False,923
283.38,0.0,0.0,1,2016,4,15,4,106,6,0,True,False,False,False,False,False,False,False,False,5731
275.79,0.0,0.0,90,2018,3,2,4,61,22,0,False,True,False,False,False,False,False,False,False,2453
291.83,0.0,0.0,88,2016,9,21,2,265,17,0,False,False,False,False,False,False,True,False,False,5899
277.94,1.4,0.0,92,2016,4,28,3,119,20,0,False,False,False,False,False,True,False,False,False,2934
286.87,0.0,0.0,1,2017,9,3,6,246,6,0,True,False,False,False,False,False,False,False,False,1018
276.03,0.0,0.0,40,2012,10,30,1,304,22,0,False,True,False,False,False,False,False,False,False,1979
288.49,0.0,0.0,1,2017,6,17,5,168,4,0,False,False,False,False,False,True,False,False,False,531
290.77,0.0,0.0,1,2016,7,6,2,188,2,0,False,False,False,False,False,True,False,False,False,288
252.64,0.0,0.0,40,2014,2,27,3,58,13,0,False,True,False,False,False,False,False,False,False,4875
